dataset,k,metric,threshold,bow,classifier,acc
title,25,sil,0.1,bm25,rfc,0.49
title,25,sil,0.1,bm25,xgc,0.655
title,25,sil,0.1,bm25,nnc,0.675
title,25,eucl,0.2,tfidf,rfc,0.46166666666666667
title,25,eucl,0.2,tfidf,xgc,0.5883333333333334
title,25,eucl,0.2,tfidf,nnc,0.6683333333333333
title,25,eucl,0.2,count,rfc,0.5116666666666667
title,25,eucl,0.2,count,xgc,0.6483333333333333
title,25,eucl,0.2,count,nnc,0.6583333333333333
title,25,eucl,0.2,bm25,rfc,0.5166666666666667
title,25,eucl,0.2,bm25,xgc,0.6416666666666667
title,25,eucl,0.2,bm25,nnc,0.6783333333333333
title,25,sil,0.2,tfidf,rfc,0.49666666666666665
title,25,sil,0.2,tfidf,xgc,0.6416666666666667
title,25,sil,0.2,tfidf,nnc,0.665
title,25,sil,0.2,count,rfc,0.52
title,25,sil,0.2,count,xgc,0.655
title,25,sil,0.2,count,nnc,0.6933333333333334
title,25,sil,0.2,bm25,rfc,0.43833333333333335
title,25,sil,0.2,bm25,xgc,0.605
title,25,sil,0.2,bm25,nnc,0.65
title,25,eucl,0.3,tfidf,rfc,0.4633333333333333
title,25,eucl,0.3,tfidf,xgc,0.6066666666666667
title,25,eucl,0.3,tfidf,nnc,0.675
title,25,eucl,0.3,count,rfc,0.5216666666666666
title,25,eucl,0.3,count,xgc,0.6666666666666666
title,25,eucl,0.3,count,nnc,0.6783333333333333
title,25,eucl,0.3,bm25,rfc,0.49666666666666665
title,25,eucl,0.3,bm25,xgc,0.6483333333333333
title,25,eucl,0.3,bm25,nnc,0.6866666666666666
title,25,sil,0.3,tfidf,rfc,0.475
title,25,sil,0.3,tfidf,xgc,0.62
title,25,sil,0.3,tfidf,nnc,0.655
title,25,sil,0.3,count,rfc,0.53
title,25,sil,0.3,count,xgc,0.65
title,25,sil,0.3,count,nnc,0.6516666666666666
title,25,sil,0.3,bm25,rfc,0.4716666666666667
title,25,sil,0.3,bm25,xgc,0.5783333333333334
title,25,sil,0.3,bm25,nnc,0.6666666666666666
title,25,eucl,0.4,tfidf,rfc,0.48833333333333334
title,25,eucl,0.4,tfidf,xgc,0.6433333333333333
title,25,eucl,0.4,tfidf,nnc,0.6633333333333333
title,25,eucl,0.4,count,rfc,0.515
title,25,eucl,0.4,count,xgc,0.6516666666666666
title,25,eucl,0.4,count,nnc,0.66
title,25,eucl,0.4,bm25,rfc,0.4816666666666667
title,25,eucl,0.4,bm25,xgc,0.6366666666666667
title,25,eucl,0.4,bm25,nnc,0.6716666666666666
title,25,sil,0.4,tfidf,rfc,0.49333333333333335
title,25,sil,0.4,tfidf,xgc,0.655
title,25,sil,0.4,tfidf,nnc,0.685
title,25,sil,0.4,count,rfc,0.5116666666666667
title,25,sil,0.4,count,xgc,0.6333333333333333
title,25,sil,0.4,count,nnc,0.6566666666666666
title,25,sil,0.4,bm25,rfc,0.5
title,25,sil,0.4,bm25,xgc,0.6366666666666667
title,25,sil,0.4,bm25,nnc,0.69
title,25,eucl,0.5,tfidf,rfc,0.48
title,25,eucl,0.5,tfidf,xgc,0.6166666666666667
title,25,eucl,0.5,tfidf,nnc,0.6616666666666666
