Name,Coef.,Std. Error,t,Pr(>|t|),Lower 95%,Upper 95%
(Intercept),0.67544603743528,0.019682341239385115,34.31736241233775,4.129290474656991e-161,0.6368127482960098,0.7140793265745502
dataset: bitext,0.20526284348865056,0.007925953502161241,25.897558373598798,1.0024418305839047e-108,0.18970546392545726,0.22082022305184387
dataset: title,-0.09350059737156459,0.007925953502161241,-11.796763297446667,8.57759977548295e-30,-0.1090579769347579,-0.07794321780837128
k,-0.0002583648274124344,0.00019935830252368255,-1.2959822798538436,0.19534359256086078,-0.0006496733028645216,0.00013294364803965281
metric: eucl,0.06762280591249323,0.02065922385785909,3.2732500687226187,0.001107371933573937,0.027072052372234312,0.10817355945275214
metric: sil,0.07412486352566194,0.020659223857859087,3.5879791049102603,0.0003528667312966261,0.033574109985403035,0.11467561706592086
threshold,-0.058703703703710294,0.023258468627762974,-2.5239711454449476,0.011790171780302876,-0.1043563591731205,-0.013051048234300096
bow: count,-0.037168458781361255,0.007925953502161243,-4.689462128591367,3.204066132572065e-6,-0.05272583834455456,-0.021611079218167947
bow: tfidf,-0.0033452807646349725,0.007925953502161243,-0.4220666653826299,0.6730861879076568,-0.01890266032782828,0.012212098798558333
classifier: rfc,-0.09628434886499306,0.007925953502161241,-12.147983058282936,2.3258435197088702e-31,-0.11184172842818636,-0.08072696930179975
classifier: xgc,0.026290322580646282,0.007925953502161243,3.316991775623899,0.0009496768842955725,0.010732943017452977,0.04184770214383959
