dataset,k,metric,threshold,bow,classifier,acc
bitext,25,eucl,0.1,tfidf,nnc,0.9928024146737868
bitext,25,eucl,0.1,count,rfc,0.8365451590434176
bitext,25,eucl,0.1,count,xgc,0.9921058741583468
bitext,25,eucl,0.1,count,nnc,0.9937311353610402
bitext,25,eucl,0.1,bm25,rfc,0.7824471790109124
bitext,25,eucl,0.1,bm25,xgc,0.990016252612027
bitext,25,eucl,0.1,bm25,nnc,0.9918736939865336
bitext,25,sil,0.1,tfidf,rfc,0.7954492686324588
bitext,25,sil,0.1,tfidf,xgc,0.9941954957046668
bitext,25,sil,0.1,tfidf,nnc,0.9941954957046668
bitext,25,sil,0.1,count,rfc,0.8400278616206176
bitext,25,sil,0.1,count,xgc,0.9953563965637334
bitext,25,sil,0.1,count,nnc,0.9946598560482934
bitext,25,sil,0.1,bm25,rfc,0.7473879730671
bitext,25,sil,0.1,bm25,xgc,0.9934989551892268
bitext,25,sil,0.1,bm25,nnc,0.9955885767355468
bitext,25,eucl,0.2,tfidf,rfc,0.7397260273972602
bitext,25,eucl,0.2,tfidf,xgc,0.9818899465985604
bitext,25,eucl,0.2,tfidf,nnc,0.9800325052240538
bitext,25,eucl,0.2,count,rfc,0.7641049454376596
bitext,25,eucl,0.2,count,xgc,0.9823543069421872
bitext,25,eucl,0.2,count,nnc,0.9800325052240538
bitext,25,eucl,0.2,bm25,rfc,0.765033666124913
bitext,25,eucl,0.2,bm25,xgc,0.9839795681448804
bitext,25,eucl,0.2,bm25,nnc,0.9777107035059206
bitext,25,sil,0.2,tfidf,rfc,0.7682841885302996
bitext,25,sil,0.2,tfidf,xgc,0.990016252612027
bitext,25,sil,0.2,tfidf,nnc,0.9928024146737868
bitext,25,sil,0.2,count,rfc,0.8442071047132574
bitext,25,sil,0.2,count,xgc,0.9932667750174136
bitext,25,sil,0.2,count,nnc,0.9953563965637334
bitext,25,sil,0.2,bm25,rfc,0.7733921523101928
bitext,25,sil,0.2,bm25,xgc,0.9923380543301602
bitext,25,sil,0.2,bm25,nnc,0.9934989551892268
bitext,25,eucl,0.3,tfidf,rfc,0.7550499187369398
bitext,25,eucl,0.3,tfidf,xgc,0.9788716043649872
bitext,25,eucl,0.3,tfidf,nnc,0.9770141629904806
bitext,25,eucl,0.3,count,rfc,0.774320872997446
bitext,25,eucl,0.3,count,xgc,0.9798003250522406
bitext,25,eucl,0.3,count,nnc,0.9732992802414674
bitext,25,eucl,0.3,bm25,rfc,0.7511028558161134
bitext,25,eucl,0.3,bm25,xgc,0.976549802646854
bitext,25,eucl,0.3,bm25,nnc,0.972370559554214
bitext,25,sil,0.3,tfidf,rfc,0.7425121894590202
