dataset,k,metric,threshold,bow,classifier,acc
title,10,eucl,0.1,tfidf,rfc,0.417
title,10,eucl,0.1,tfidf,xgc,0.559
title,10,eucl,0.1,tfidf,nnc,0.6095
title,10,eucl,0.1,count,rfc,0.4385
title,10,eucl,0.1,count,xgc,0.573
title,10,eucl,0.1,count,nnc,0.6255
title,10,eucl,0.1,bm25,rfc,0.419
title,10,eucl,0.1,bm25,xgc,0.5745
title,10,eucl,0.1,bm25,nnc,0.612
title,10,sil,0.1,tfidf,rfc,0.421
title,10,sil,0.1,tfidf,xgc,0.5685
title,10,sil,0.1,tfidf,nnc,0.621
title,10,sil,0.1,count,rfc,0.4455
title,10,sil,0.1,count,xgc,0.562
title,10,sil,0.1,count,nnc,0.6305
title,10,sil,0.1,bm25,rfc,0.427
title,10,sil,0.1,bm25,xgc,0.557
title,10,sil,0.1,bm25,nnc,0.6025
title,10,eucl,0.2,tfidf,rfc,0.421
title,10,eucl,0.2,tfidf,xgc,0.5745
title,10,eucl,0.2,tfidf,nnc,0.609
title,10,eucl,0.2,count,rfc,0.4305
title,10,eucl,0.2,count,xgc,0.5695
title,10,eucl,0.2,count,nnc,0.619
title,10,eucl,0.2,bm25,rfc,0.431
title,10,eucl,0.2,bm25,xgc,0.578
title,10,eucl,0.2,bm25,nnc,0.6085
title,10,sil,0.2,tfidf,rfc,0.4335
title,10,sil,0.2,tfidf,xgc,0.5805
title,10,sil,0.2,tfidf,nnc,0.625
title,10,sil,0.2,count,rfc,0.443
title,10,sil,0.2,count,xgc,0.57
title,10,sil,0.2,count,nnc,0.6245
title,10,sil,0.2,bm25,rfc,0.4155
title,10,sil,0.2,bm25,xgc,0.5735
title,10,sil,0.2,bm25,nnc,0.6175
title,10,eucl,0.3,tfidf,rfc,0.422
title,10,eucl,0.3,tfidf,xgc,0.5755
title,10,eucl,0.3,tfidf,nnc,0.614
title,10,eucl,0.3,count,rfc,0.43
title,10,eucl,0.3,count,xgc,0.564
title,10,eucl,0.3,count,nnc,0.6155
title,10,eucl,0.3,bm25,rfc,0.444
title,10,eucl,0.3,bm25,xgc,0.5765
title,10,eucl,0.3,bm25,nnc,0.6065
title,10,sil,0.3,tfidf,rfc,0.4255
title,10,sil,0.3,tfidf,xgc,0.582
title,10,sil,0.3,tfidf,nnc,0.6285
title,10,sil,0.3,count,rfc,0.434
title,10,sil,0.3,count,xgc,0.5645
title,10,sil,0.3,count,nnc,0.627
title,10,sil,0.3,bm25,rfc,0.4325
title,10,sil,0.3,bm25,xgc,0.559
title,10,sil,0.3,bm25,nnc,0.6005
title,10,eucl,0.4,tfidf,rfc,0.43
title,10,eucl,0.4,tfidf,xgc,0.5535
title,10,eucl,0.4,tfidf,nnc,0.6295
title,10,eucl,0.4,count,rfc,0.4365
title,10,eucl,0.4,count,xgc,0.575
title,10,eucl,0.4,count,nnc,0.6195
title,10,eucl,0.4,bm25,rfc,0.423
title,10,eucl,0.4,bm25,xgc,0.573
title,10,eucl,0.4,bm25,nnc,0.6
title,10,sil,0.4,tfidf,rfc,0.4165
title,10,sil,0.4,tfidf,xgc,0.5715
title,10,sil,0.4,tfidf,nnc,0.6185
title,10,sil,0.4,count,rfc,0.429
title,10,sil,0.4,count,xgc,0.566
title,10,sil,0.4,count,nnc,0.613
title,10,sil,0.4,bm25,rfc,0.4205
title,10,sil,0.4,bm25,xgc,0.57
title,10,sil,0.4,bm25,nnc,0.612
title,10,eucl,0.5,tfidf,rfc,0.423
title,10,eucl,0.5,tfidf,xgc,0.5755
title,10,eucl,0.5,tfidf,nnc,0.62
title,10,eucl,0.5,count,rfc,0.435
title,10,eucl,0.5,count,xgc,0.563
title,10,eucl,0.5,count,nnc,0.623
title,10,eucl,0.5,bm25,rfc,0.435
title,10,eucl,0.5,bm25,xgc,0.5755
title,10,eucl,0.5,bm25,nnc,0.6055
title,10,sil,0.5,tfidf,rfc,0.414
title,10,sil,0.5,tfidf,xgc,0.5645
title,10,sil,0.5,tfidf,nnc,0.6015
title,10,sil,0.5,count,rfc,0.432
title,10,sil,0.5,count,xgc,0.5665
title,10,sil,0.5,count,nnc,0.629
title,10,sil,0.5,bm25,rfc,0.4325
title,10,sil,0.5,bm25,xgc,0.559
title,10,sil,0.5,bm25,nnc,0.6005
title,25,eucl,0.1,tfidf,rfc,0.424
title,25,eucl,0.1,tfidf,xgc,0.5515
