dataset,k,metric,threshold,bow,classifier,acc
bitext,10,eucl,0.5,tfidf,rfc,0.7266666666666667
bitext,10,eucl,0.5,tfidf,xgc,0.9716666666666667
bitext,10,eucl,0.5,tfidf,nnc,0.9816666666666667
bitext,10,eucl,0.5,count,rfc,0.855
bitext,10,eucl,0.5,count,xgc,0.9683333333333334
bitext,10,eucl,0.5,count,nnc,0.98
bitext,10,eucl,0.5,bm25,rfc,0.7066666666666667
bitext,10,eucl,0.5,bm25,xgc,0.9566666666666667
bitext,10,eucl,0.5,bm25,nnc,0.9683333333333334
bitext,10,sil,0.5,tfidf,rfc,0.7516666666666667
bitext,10,sil,0.5,tfidf,xgc,0.9583333333333334
bitext,10,sil,0.5,tfidf,nnc,0.975
bitext,10,sil,0.5,count,rfc,0.805
bitext,10,sil,0.5,count,xgc,0.955
bitext,10,sil,0.5,count,nnc,0.96
bitext,10,sil,0.5,bm25,rfc,0.7566666666666667
bitext,10,sil,0.5,bm25,xgc,0.9666666666666667
bitext,10,sil,0.5,bm25,nnc,0.9783333333333334
bitext,25,eucl,0.1,tfidf,rfc,0.785
bitext,25,eucl,0.1,tfidf,xgc,0.98
bitext,25,eucl,0.1,tfidf,nnc,0.99
bitext,25,eucl,0.1,count,rfc,0.835
bitext,25,eucl,0.1,count,xgc,0.9733333333333334
bitext,25,eucl,0.1,count,nnc,0.995
bitext,25,eucl,0.1,bm25,rfc,0.7516666666666667
bitext,25,eucl,0.1,bm25,xgc,0.9733333333333334
bitext,25,eucl,0.1,bm25,nnc,0.9966666666666667
bitext,25,sil,0.1,tfidf,rfc,0.79
bitext,25,sil,0.1,tfidf,xgc,0.9683333333333334
bitext,25,sil,0.1,tfidf,nnc,0.9983333333333333
bitext,25,sil,0.1,count,rfc,0.8433333333333334
bitext,25,sil,0.1,count,xgc,0.9683333333333334
bitext,25,sil,0.1,count,nnc,0.99
bitext,25,sil,0.1,bm25,rfc,0.7516666666666667
bitext,25,sil,0.1,bm25,xgc,0.9716666666666667
bitext,25,sil,0.1,bm25,nnc,0.99
bitext,25,eucl,0.2,tfidf,rfc,0.7483333333333333
bitext,25,eucl,0.2,tfidf,xgc,0.9683333333333334
bitext,25,eucl,0.2,tfidf,nnc,0.985
bitext,25,eucl,0.2,count,rfc,0.81
bitext,25,eucl,0.2,count,xgc,0.9616666666666667
bitext,25,eucl,0.2,count,nnc,0.9766666666666667
bitext,25,eucl,0.2,bm25,rfc,0.73
bitext,25,eucl,0.2,bm25,xgc,0.95
bitext,25,eucl,0.2,bm25,nnc,0.9716666666666667
bitext,25,sil,0.2,tfidf,rfc,0.7166666666666667
bitext,25,sil,0.2,tfidf,xgc,0.9583333333333334
bitext,25,sil,0.2,tfidf,nnc,0.98
bitext,25,sil,0.2,count,rfc,0.82
bitext,25,sil,0.2,count,xgc,0.9683333333333334
bitext,25,sil,0.2,count,nnc,0.9733333333333334
bitext,25,sil,0.2,bm25,rfc,0.7066666666666667
bitext,25,sil,0.2,bm25,xgc,0.9516666666666667
bitext,25,sil,0.2,bm25,nnc,0.9833333333333333
bitext,25,eucl,0.3,tfidf,rfc,0.6983333333333334
bitext,25,eucl,0.3,tfidf,xgc,0.9
bitext,25,eucl,0.3,tfidf,nnc,0.9033333333333333
bitext,25,eucl,0.3,count,rfc,0.7483333333333333
bitext,25,eucl,0.3,count,xgc,0.9133333333333333
bitext,25,eucl,0.3,count,nnc,0.9233333333333333
bitext,25,eucl,0.3,bm25,rfc,0.6783333333333333
bitext,25,eucl,0.3,bm25,xgc,0.915
bitext,25,eucl,0.3,bm25,nnc,0.925
bitext,25,sil,0.3,tfidf,rfc,0.7516666666666667
bitext,25,sil,0.3,tfidf,xgc,0.965
bitext,25,sil,0.3,tfidf,nnc,0.9833333333333333
bitext,25,sil,0.3,count,rfc,0.82
bitext,25,sil,0.3,count,xgc,0.965
bitext,25,sil,0.3,count,nnc,0.9766666666666667
bitext,25,sil,0.3,bm25,rfc,0.73
bitext,25,sil,0.3,bm25,xgc,0.9516666666666667
bitext,25,sil,0.3,bm25,nnc,0.975
bitext,25,eucl,0.4,tfidf,rfc,0.7266666666666667
bitext,25,eucl,0.4,tfidf,xgc,0.91
bitext,25,eucl,0.4,tfidf,nnc,0.91
bitext,25,eucl,0.4,count,rfc,0.7566666666666667
bitext,25,eucl,0.4,count,xgc,0.92
bitext,25,eucl,0.4,count,nnc,0.9316666666666666
bitext,25,eucl,0.4,bm25,rfc,0.67
bitext,25,eucl,0.4,bm25,xgc,0.9216666666666666
bitext,25,eucl,0.4,bm25,nnc,0.925
bitext,25,sil,0.4,tfidf,rfc,0.7783333333333333
bitext,25,sil,0.4,tfidf,xgc,0.9583333333333334
bitext,25,sil,0.4,tfidf,nnc,0.98
bitext,25,sil,0.4,count,rfc,0.7866666666666666
bitext,25,sil,0.4,count,xgc,0.9583333333333334
bitext,25,sil,0.4,count,nnc,0.9733333333333334
bitext,25,sil,0.4,bm25,rfc,0.735
bitext,25,sil,0.4,bm25,xgc,0.945
bitext,25,sil,0.4,bm25,nnc,0.9683333333333334
bitext,25,eucl,0.5,tfidf,rfc,0.6783333333333333
bitext,25,eucl,0.5,tfidf,xgc,0.8516666666666667
bitext,25,eucl,0.5,tfidf,nnc,0.8583333333333333
bitext,25,eucl,0.5,count,rfc,0.6533333333333333
bitext,25,eucl,0.5,count,xgc,0.8683333333333333
bitext,25,eucl,0.5,count,nnc,0.8683333333333333
bitext,25,eucl,0.5,bm25,rfc,0.5866666666666667
bitext,25,eucl,0.5,bm25,xgc,0.8383333333333334
bitext,25,eucl,0.5,bm25,nnc,0.8533333333333334
bitext,25,sil,0.5,tfidf,rfc,0.6983333333333334
bitext,25,sil,0.5,tfidf,xgc,0.925
bitext,25,sil,0.5,tfidf,nnc,0.9366666666666666
bitext,25,sil,0.5,count,rfc,0.7816666666666666
bitext,25,sil,0.5,count,xgc,0.9283333333333333
bitext,25,sil,0.5,count,nnc,0.94
bitext,25,sil,0.5,bm25,rfc,0.7116666666666667
bitext,25,sil,0.5,bm25,xgc,0.9233333333333333
bitext,25,sil,0.5,bm25,nnc,0.925
bitext,50,eucl,0.1,tfidf,rfc,0.76
bitext,50,eucl,0.1,tfidf,xgc,0.9766666666666667
bitext,50,eucl,0.1,tfidf,nnc,0.9966666666666667
bitext,50,eucl,0.1,count,rfc,0.8266666666666667
bitext,50,eucl,0.1,count,xgc,0.9916666666666667
bitext,50,eucl,0.1,count,nnc,0.9966666666666667
bitext,50,eucl,0.1,bm25,rfc,0.7783333333333333
bitext,50,eucl,0.1,bm25,xgc,0.985
bitext,50,eucl,0.1,bm25,nnc,0.9983333333333333
bitext,50,sil,0.1,tfidf,rfc,0.74
bitext,50,sil,0.1,tfidf,xgc,0.9816666666666667
bitext,50,sil,0.1,tfidf,nnc,0.9966666666666667
bitext,50,sil,0.1,count,rfc,0.8466666666666667
bitext,50,sil,0.1,count,xgc,0.9816666666666667
bitext,50,sil,0.1,count,nnc,0.9966666666666667
bitext,50,sil,0.1,bm25,rfc,0.7716666666666666
bitext,50,sil,0.1,bm25,xgc,0.9816666666666667
bitext,50,sil,0.1,bm25,nnc,0.9983333333333333
