Name,Coef.,Std. Error,t,Pr(>|t|),Lower 95%,Upper 95%
(Intercept),0.7431720430107455,0.007139678386189657,104.09040895291163,0.0,0.7291575895741638,0.7571864964473272
dataset: bitext,0.22000000000000783,0.01009703000473145,21.788585346078623,3.378758247234081e-83,0.20018056988074784,0.23981943011926782
dataset: title,-0.07451612903224948,0.010097030004731455,-7.380004713993256,3.927335827430051e-13,-0.09433555915150948,-0.05469669891298948
bow: count,-0.413763440860206,0.010097030004731458,-40.97872747395193,1.1508920005304306e-199,-0.433582870979466,-0.393944010740946
bow: tfidf,0.006021505376351277,0.010097030004731451,0.5963640172931655,0.5510986958842727,-0.01379792474290872,0.025840935495611273
classifier: rfc,-0.04263440860214228,0.010097030004731455,-4.222470229578782,2.6902835661630664e-5,-0.06245383872140228,-0.022814978482882275
classifier: xgc,0.0011827956989327447,0.010097030004731443,0.1171429319689542,0.9067758281883423,-0.018636634420327234,0.021002225818192725
dataset: bitext & bow: count,0.41333333333332356,0.01427935677237928,28.946215149749523,4.732941963518802e-127,0.3853044264601603,0.44136224020648684
dataset: title & bow: count,0.39999999999998914,0.014279356772379292,28.012466273951027,2.835516816574686e-121,0.37197109312682586,0.4280289068731524
dataset: bitext & bow: tfidf,-0.006989247311835429,0.014279356772379277,-0.4894651365077459,0.6246449519885391,-0.035018154184998686,0.02103965956132783
dataset: title & bow: tfidf,-0.015215053763450004,0.014279356772379282,-1.0655279510125168,0.2869545896017813,-0.043243960636613274,0.012813853109713266
dataset: bitext & classifier: rfc,-0.19413978494624595,0.014279356772379277,-13.595835445597436,4.5279513163126093e-38,-0.2221686918194092,-0.1661108780730827
dataset: title & classifier: rfc,-0.1366666666666764,0.014279356772379284,-9.570925976934216,1.243940890441385e-20,-0.16469557353983968,-0.10863775979351313
dataset: bitext & classifier: xgc,-0.01596774193549171,0.014279356772379261,-1.1182395810978203,0.2637962152707302,-0.043996648808654934,0.01206116493767152
dataset: title & classifier: xgc,-0.04940860215054739,0.014279356772379272,-3.4601420034632815,0.0005681198358982555,-0.07743750902371063,-0.02137969527738414
bow: count & classifier: rfc,0.4218279569892367,0.014279356772379286,29.54110354642746,9.903497628213563e-131,0.3937990501160734,0.4498568638624
bow: tfidf & classifier: rfc,-0.013387096774202049,0.014279356772379284,-0.9375139922336598,0.34877367590611896,-0.04141600364736532,0.014641810098961225
bow: count & classifier: xgc,0.4140860215053664,0.01427935677237928,28.998926779834903,2.233740488074808e-127,0.3860571146322031,0.44211492837852967
bow: tfidf & classifier: xgc,-0.015860215053771408,0.014279356772379263,-1.1107093482284873,0.2670230749428262,-0.04388912192693464,0.012168691819391824
dataset: bitext & bow: count & classifier: rfc,-0.35543010752687004,0.02019406000946286,-17.600725528215566,5.781352275988968e-59,-0.39506896776538997,-0.3157912472883501
dataset: title & bow: count & classifier: rfc,-0.3958602150537508,0.020194060009462875,-19.602804729125886,2.526935045362987e-70,-0.4354990752922707,-0.3562213548152309
dataset: bitext & bow: tfidf & classifier: rfc,0.025000000000009175,0.02019406000946286,1.2379878037548797,0.21607928501407814,-0.014638860238510736,0.06463886023852908
dataset: title & bow: tfidf & classifier: rfc,0.010537634408612702,0.020194060009462868,0.52181851513142,0.6019393528812704,-0.02910122582990722,0.05017649464713263
dataset: bitext & bow: count & classifier: xgc,-0.4080107526881623,0.020194060009462847,-20.20449342514434,7.965504875113314e-74,-0.44764961292668215,-0.3683718924496424
dataset: title & bow: count & classifier: xgc,-0.3990860215053643,0.020194060009462868,-19.76254509090069,2.9959934524822068e-71,-0.43872488174388424,-0.3594471612668444
dataset: bitext & bow: tfidf & classifier: xgc,0.017096774193555854,0.020194060009462837,0.846623917406623,0.39745483298467954,-0.022542086044964008,0.056735634432075716
dataset: title & bow: tfidf & classifier: xgc,0.01741935483872008,0.02019406000946285,0.8625979535842444,0.3886138700370311,-0.02221950539979981,0.057058215077239974
